,reorder_point,order_size,total_cost,ordering_cost,holding_cost,shortage_cost
511,10,60,126.1,86.3,19.6,20.3
512,10,60,123.7,85.4,19.3,19.0
513,10,60,123.1,84.4,18.4,20.4
514,10,60,122.1,81.8,20.2,20.2
515,10,60,122.1,83.2,19.4,19.5
516,10,60,130.2,86.1,18.8,25.3
517,10,60,127.4,88.9,19.3,19.2
518,10,60,129.7,87.6,19.7,22.4
519,10,60,126.7,87.8,19.0,19.9
520,10,65,122.7,84.2,21.5,17.0
521,10,65,126.9,86.5,20.9,19.5
522,10,65,125.1,83.6,21.6,19.8
523,10,65,121.8,81.2,21.1,19.5
524,10,65,122.0,82.8,22.5,16.7
525,10,65,126.5,86.2,22.0,18.3
526,10,65,129.0,86.0,20.4,22.6
527,10,65,118.3,79.2,21.7,17.4
528,10,65,123.3,82.4,20.7,20.2
529,10,65,124.3,83.5,21.9,19.0
530,10,70,123.7,82.6,23.0,18.0
531,10,70,123.7,81.6,24.4,17.6
532,10,70,131.2,85.4,22.2,23.6
533,10,70,120.6,81.4,24.3,14.9
534,10,70,127.6,84.7,22.9,20.0
535,10,70,124.2,83.6,23.6,17.0
536,10,70,127.9,85.7,23.4,18.8
537,10,70,124.9,82.0,23.7,19.2
538,10,70,122.7,82.4,23.5,16.8
539,10,70,122.8,81.6,23.1,18.0
540,10,75,124.8,84.0,27.0,13.8
541,10,75,128.0,83.1,24.6,20.3
542,10,75,130.1,84.4,26.5,19.3
543,10,75,127.4,86.7,24.2,16.5
544,10,75,125.6,83.6,27.1,14.9
545,10,75,127.7,84.1,25.9,17.7
546,10,75,125.7,80.7,26.9,18.1
547,10,75,129.5,85.7,25.9,17.9
548,10,75,123.6,80.7,25.8,17.1
549,10,75,128.1,83.8,24.7,19.6
550,10,80,123.6,80.5,28.7,14.4
551,10,80,130.5,84.9,29.8,15.8
552,10,80,135.5,85.1,26.0,24.4
553,10,80,129.1,82.3,27.9,18.9
554,10,80,127.7,84.0,26.9,16.9
555,10,80,122.6,80.2,29.2,13.2
